doc2vec_dm0_vec50_win5_min1_epochs25,0.892500,0.022389,0,50,5,1,25
doc2vec_dm0_vec50_win5_min1_epochs50,0.885500,0.013684,0,50,5,1,50
doc2vec_dm0_vec50_win5_min1_epochs75,0.871000,0.025179,0,50,5,1,75
doc2vec_dm0_vec50_win5_min2_epochs25,0.889000,0.026344,0,50,5,2,25
doc2vec_dm0_vec50_win5_min2_epochs50,0.881000,0.024880,0,50,5,2,50
doc2vec_dm0_vec50_win5_min2_epochs75,0.882000,0.022825,0,50,5,2,75
doc2vec_dm0_vec50_win5_min4_epochs25,0.890500,0.016948,0,50,5,4,25
doc2vec_dm0_vec50_win5_min4_epochs50,0.885000,0.018439,0,50,5,4,50
doc2vec_dm0_vec50_win5_min4_epochs75,0.891000,0.023431,0,50,5,4,75
doc2vec_dm0_vec50_win10_min1_epochs25,0.887000,0.017916,0,50,10,1,25
doc2vec_dm0_vec50_win10_min1_epochs50,0.875000,0.020494,0,50,10,1,50
doc2vec_dm0_vec50_win10_min1_epochs75,0.873000,0.021932,0,50,10,1,75
doc2vec_dm0_vec50_win10_min2_epochs25,0.890000,0.017889,0,50,10,2,25
doc2vec_dm0_vec50_win10_min2_epochs50,0.886000,0.018815,0,50,10,2,50
doc2vec_dm0_vec50_win10_min2_epochs75,0.887000,0.022716,0,50,10,2,75
doc2vec_dm0_vec50_win10_min4_epochs25,0.890500,0.023606,0,50,10,4,25
doc2vec_dm0_vec50_win10_min4_epochs50,0.888500,0.025105,0,50,10,4,50
doc2vec_dm0_vec50_win10_min4_epochs75,0.888000,0.021817,0,50,10,4,75
doc2vec_dm0_vec100_win5_min1_epochs25,0.880500,0.018500,0,100,5,1,25
doc2vec_dm0_vec100_win5_min1_epochs50,0.869000,0.015780,0,100,5,1,50
doc2vec_dm0_vec100_win5_min1_epochs75,0.876500,0.012855,0,100,5,1,75
doc2vec_dm0_vec100_win5_min2_epochs25,0.878000,0.016462,0,100,5,2,25
doc2vec_dm0_vec100_win5_min2_epochs50,0.875500,0.012933,0,100,5,2,50
doc2vec_dm0_vec100_win5_min2_epochs75,0.867000,0.016763,0,100,5,2,75
doc2vec_dm0_vec100_win5_min4_epochs25,0.884500,0.023922,0,100,5,4,25
doc2vec_dm0_vec100_win5_min4_epochs50,0.877500,0.022164,0,100,5,4,50
doc2vec_dm0_vec100_win5_min4_epochs75,0.874500,0.013684,0,100,5,4,75
doc2vec_dm0_vec100_win10_min1_epochs25,0.874500,0.023500,0,100,10,1,25
doc2vec_dm0_vec100_win10_min1_epochs50,0.871500,0.020500,0,100,10,1,50
doc2vec_dm0_vec100_win10_min1_epochs75,0.873000,0.019131,0,100,10,1,75
doc2vec_dm0_vec100_win10_min2_epochs25,0.884000,0.018412,0,100,10,2,25
doc2vec_dm0_vec100_win10_min2_epochs50,0.872500,0.022721,0,100,10,2,50
doc2vec_dm0_vec100_win10_min2_epochs75,0.871500,0.024804,0,100,10,2,75
doc2vec_dm0_vec100_win10_min4_epochs25,0.885500,0.020304,0,100,10,4,25
doc2vec_dm0_vec100_win10_min4_epochs50,0.877000,0.020640,0,100,10,4,50
doc2vec_dm0_vec100_win10_min4_epochs75,0.874500,0.020304,0,100,10,4,75
doc2vec_dm1_vec50_win5_min1_epochs25,0.762000,0.026665,1,50,5,1,25
doc2vec_dm1_vec50_win5_min1_epochs50,0.799000,0.027276,1,50,5,1,50
doc2vec_dm1_vec50_win5_min1_epochs75,0.784000,0.030561,1,50,5,1,75
doc2vec_dm1_vec50_win5_min2_epochs25,0.780000,0.021331,1,50,5,2,25
doc2vec_dm1_vec50_win5_min2_epochs50,0.792500,0.025421,1,50,5,2,50
doc2vec_dm1_vec50_win5_min2_epochs75,0.797500,0.022831,1,50,5,2,75
doc2vec_dm1_vec50_win5_min4_epochs25,0.793500,0.030418,1,50,5,4,25
doc2vec_dm1_vec50_win5_min4_epochs50,0.816500,0.023243,1,50,5,4,50
doc2vec_dm1_vec50_win5_min4_epochs75,0.812500,0.024520,1,50,5,4,75
doc2vec_dm1_vec50_win10_min1_epochs25,0.762000,0.030100,1,50,10,1,25
doc2vec_dm1_vec50_win10_min1_epochs50,0.770500,0.029618,1,50,10,1,50
doc2vec_dm1_vec50_win10_min1_epochs75,0.785500,0.030037,1,50,10,1,75
doc2vec_dm1_vec50_win10_min2_epochs25,0.787500,0.028831,1,50,10,2,25
doc2vec_dm1_vec50_win10_min2_epochs50,0.803500,0.026273,1,50,10,2,50
doc2vec_dm1_vec50_win10_min2_epochs75,0.803500,0.027482,1,50,10,2,75
doc2vec_dm1_vec50_win10_min4_epochs25,0.801500,0.022699,1,50,10,4,25
doc2vec_dm1_vec50_win10_min4_epochs50,0.812500,0.022940,1,50,10,4,50
doc2vec_dm1_vec50_win10_min4_epochs75,0.817500,0.026005,1,50,10,4,75
doc2vec_dm1_vec100_win5_min1_epochs25,0.805000,0.032404,1,100,5,1,25
doc2vec_dm1_vec100_win5_min1_epochs50,0.827000,0.024413,1,100,5,1,50
doc2vec_dm1_vec100_win5_min1_epochs75,0.831000,0.030806,1,100,5,1,75
doc2vec_dm1_vec100_win5_min2_epochs25,0.832000,0.020149,1,100,5,2,25
doc2vec_dm1_vec100_win5_min2_epochs50,0.820000,0.029326,1,100,5,2,50
doc2vec_dm1_vec100_win5_min2_epochs75,0.832000,0.027404,1,100,5,2,75
doc2vec_dm1_vec100_win5_min4_epochs25,0.829000,0.021656,1,100,5,4,25
doc2vec_dm1_vec100_win5_min4_epochs50,0.834000,0.025278,1,100,5,4,50
doc2vec_dm1_vec100_win5_min4_epochs75,0.845000,0.023238,1,100,5,4,75
doc2vec_dm1_vec100_win10_min1_epochs25,0.780000,0.040497,1,100,10,1,25
doc2vec_dm1_vec100_win10_min1_epochs50,0.802500,0.031957,1,100,10,1,50
doc2vec_dm1_vec100_win10_min1_epochs75,0.817000,0.039762,1,100,10,1,75
doc2vec_dm1_vec100_win10_min2_epochs25,0.802500,0.028306,1,100,10,2,25
doc2vec_dm1_vec100_win10_min2_epochs50,0.831500,0.031941,1,100,10,2,50
doc2vec_dm1_vec100_win10_min2_epochs75,0.826000,0.022113,1,100,10,2,75
doc2vec_dm1_vec100_win10_min4_epochs25,0.810500,0.027060,1,100,10,4,25
doc2vec_dm1_vec100_win10_min4_epochs50,0.829000,0.021656,1,100,10,4,50
doc2vec_dm1_vec100_win10_min4_epochs75,0.838500,0.023775,1,100,10,4,75
